Gene ID,Gene name,Gene type,Transcripts,Query
107293579,uncharacterized LOC107293579,ncRNA,XR_001549027.1,XR_001549027.1
107294110,uncharacterized LOC107294110,ncRNA,XR_001549040.1,XR_001549040.1
107294491,uncharacterized LOC107294491,protein-coding,"XM_015823723.1,XR_001549045.1",XR_001549045.1
107294700,exosome component 4,protein-coding,XM_015823952.1,XM_015823952.1
107295034,putative uncharacterized protein DDB_G0271982,protein-coding,XM_029285757.1,XM_029285757.1
107295359,zinc finger and SCAN domain-containing protein 2-like,protein-coding,XM_029285831.1,XM_029285831.1
107295398,factor VIII intron 22 protein-like,protein-coding,XM_015824713.1,XM_015824713.1
107295573,sodium channel modifier 1,protein-coding,XM_029285876.1,XM_029285876.1
107295610,uncharacterized LOC107295610,ncRNA,XR_001549065.1,XR_001549065.1
107296980,uncharacterized LOC107296980,ncRNA,XR_001549114.2,XR_001549114.2
107297098,histone H1.4-like,protein-coding,XM_015826456.1,XM_015826456.1
107297282,short transmembrane mitochondrial protein 1,protein-coding,XM_015826644.2,XM_015826644.2
107297415,polyamine modulated factor 1,protein-coding,XM_015826784.2,XM_015826784.2
107297769,protein PXR1-like,protein-coding,XM_015827131.1,XM_015827131.1
107298377,unconventional myosin-Ig-like,protein-coding,XM_015827751.1,XM_015827751.1
107298505,putative uncharacterized protein DDB_G0271982,protein-coding,XM_015827883.1,XM_015827883.1
107298653,mitochondrial ribosomal protein L41,protein-coding,XM_015828031.1,XM_015828031.1
107298828,uncharacterized LOC107298828,ncRNA,XR_001549165.1,XR_001549165.1
107299297,flotillin-2,protein-coding,XM_015828658.1,XM_015828658.1
107299303,phospholipid scramblase 1-like,protein-coding,XM_029286740.1,XM_029286740.1
107299400,uncharacterized LOC107299400,ncRNA,XR_001549175.1,XR_001549175.1
107299536,GTPase IMAP family member 7-like,protein-coding,XM_015828897.2,XM_015828897.2
107299621,ribosomal protein S28,protein-coding,XM_015828983.1,XM_015828983.1
107299877,uncharacterized LOC107299877,ncRNA,XR_001549202.1,XR_001549202.1
107299994,"H-2 class II histocompatibility antigen, I-E beta chain-like",protein-coding,XM_015829339.1,XM_015829339.1
107300165,interferon regulatory factor 4-like,protein-coding,XM_015829505.1,XM_015829505.1
107300275,solute carrier family 12 member 9-like,protein-coding,XM_015829613.1,XM_015829613.1
107300419,stress-associated endoplasmic reticulum protein 1,protein-coding,XM_015829753.1,XM_015829753.1
107300625,uncharacterized LOC107300625,ncRNA,XR_001549230.1,XR_001549230.1
107300732,uncharacterized LOC107300732,ncRNA,XR_001549239.1,XR_001549239.1
107300859,E3 ubiquitin-protein ligase RING2-B-like,protein-coding,XM_015830145.1,XM_015830145.1
107300985,uncharacterized LOC107300985,ncRNA,XR_001549253.1,XR_001549253.1
107301017,inactive rhomboid protein 2-like,protein-coding,XM_015830288.1,XM_015830288.1
107301093,uncharacterized LOC107301093,ncRNA,XR_001549263.1,XR_001549263.1
107301099,uncharacterized LOC107301099,ncRNA,XR_001549264.1,XR_001549264.1
107301148,GTPase IMAP family member 4-like,protein-coding,XM_015830409.2,XM_015830409.2
107301207,"HLA class II histocompatibility antigen, DR beta 5 chain-like",protein-coding,XM_015830464.1,XM_015830464.1
107301240,GTPase IMAP family member 7-like,protein-coding,XM_015830492.2,XM_015830492.2
107301270,phospholipid scramblase 2-like,protein-coding,XM_015830519.1,XM_015830519.1
107301296,"inositol 1,4,5-trisphosphate receptor type 2-like",protein-coding,XM_015830541.1,XM_015830541.1
107301302,uncharacterized LOC107301302,ncRNA,XR_001549278.1,XR_001549278.1
107301360,leukocyte cysteine proteinase inhibitor 1-like,protein-coding,XM_029287112.1,XM_029287112.1
107301388,uncharacterized LOC107301388,ncRNA,XR_001549290.1,XR_001549290.1
107301395,flotillin-2-like,protein-coding,XM_015830628.1,XM_015830628.1
107301533,lipopolysaccharide-binding protein-like,protein-coding,XM_015830743.1,XM_015830743.1
107301639,sorting nexin-6-like,protein-coding,XM_015830835.1,XM_015830835.1
107301694,semaphorin-7A-like,protein-coding,XM_015830883.1,XM_015830883.1
107301740,60S ribosomal protein L10a,protein-coding,XM_015830926.1,XM_015830926.1
107301746,formin-binding protein 4,protein-coding,XM_015830931.1,XM_015830931.1
107301800,uncharacterized LOC107301800,ncRNA,XR_001549329.1,XR_001549329.1
107301813,uncharacterized LOC107301813,ncRNA,XR_001549332.1,XR_001549332.1
107301866,uncharacterized LOC107301866,ncRNA,XR_001549338.1,XR_001549338.1
107301924,snaclec stejaggregin-A subunit alpha,protein-coding,XM_015831079.1,XM_015831079.1
107302093,"cytochrome c oxidase subunit 7C, mitochondrial",protein-coding,XM_015831217.1,XM_015831217.1
107302131,phosphomevalonate kinase-like,protein-coding,XM_015831251.1,XM_015831251.1
107302158,gamma-tubulin complex component 6-like,protein-coding,XM_015831273.1,XM_015831273.1
107302164,uncharacterized LOC107302164,ncRNA,XR_001549374.1,XR_001549374.1
107302182,proteasome activator complex subunit 2-like,protein-coding,XM_015831297.1,XM_015831297.1
107302187,proteasome activator complex subunit 2-like,protein-coding,XM_015831301.2,XM_015831301.2
107302248,leukocyte cysteine proteinase inhibitor 1-like,protein-coding,XM_015831348.1,XM_015831348.1
107302265,MKI67 FHA domain-interacting nucleolar phosphoprotein-like,protein-coding,XM_015831364.1,XM_015831364.1
107302266,cutA divalent cation tolerance homolog,protein-coding,"XM_015831365.1,XM_015831366.1",XM_015831366.1
107302294,growth arrest and DNA damage-inducible protein GADD45 beta-like,protein-coding,XM_015831392.1,XM_015831392.1
107302334,"H-2 class II histocompatibility antigen, I-E beta chain-like",protein-coding,XM_015831429.1,XM_015831429.1
107302335,"proline dehydrogenase 1, mitochondrial-like",protein-coding,XM_015831430.1,XM_015831430.1
107302430,SERTA domain-containing protein 2-like,protein-coding,"XM_015831533.1,XM_015831534.1",XM_015831534.1
107302849,uncharacterized LOC107302849,ncRNA,XR_001549400.1,XR_001549400.1
114922146,uncharacterized LOC114922146,ncRNA,"XR_001549075.1,XR_001549076.1,XR_001549077.1",XR_001549075.1
114922191,uncharacterized LOC114922191,ncRNA,XR_003810747.1,XR_003810747.1
114922422,U7 small nuclear RNA,snRNA,XR_003810405.1,XR_003810405.1
114922531,U1 spliceosomal RNA,snRNA,XR_003810421.1,XR_003810421.1
114922551,U6 spliceosomal RNA,snRNA,XR_003810431.1,XR_003810431.1
114922554,U6 spliceosomal RNA,snRNA,XR_003810432.1,XR_003810432.1
114922600,U6 spliceosomal RNA,snRNA,XR_003810443.1,XR_003810443.1
114922739,U6 spliceosomal RNA,snRNA,XR_003810470.1,XR_003810470.1
114922844,U6 spliceosomal RNA,snRNA,XR_003810504.1,XR_003810504.1
114922902,5.8S ribosomal RNA,rRNA,XR_003810521.1,XR_003810521.1
114923106,small Cajal body-specific RNA 14,ncRNA,XR_003810568.1,XR_003810568.1
114923281,U6 spliceosomal RNA,snRNA,XR_003810600.1,XR_003810600.1
114923308,small nucleolar RNA SNORD34,snoRNA,XR_003810605.1,XR_003810605.1
114923420,U6 spliceosomal RNA,snRNA,XR_003810618.1,XR_003810618.1
114923498,U6 spliceosomal RNA,snRNA,XR_003810649.1,XR_003810649.1
114923604,probable ATP-dependent RNA helicase DHX34,protein-coding,XM_029286765.1,XM_029286765.1
114923678,U6 spliceosomal RNA,snRNA,XR_003810686.1,XR_003810686.1
114923717,U8 small nucleolar RNA,snoRNA,XR_003810693.1,XR_003810693.1
114923855,U6 spliceosomal RNA,snRNA,XR_003810722.1,XR_003810722.1
114923860,CD83 antigen-like,protein-coding,XM_029287188.1,XM_029287188.1
114923915,uncharacterized LOC114923915,ncRNA,XR_003810735.1,XR_003810735.1
