Table 2
ID,Toxin Class,FPKM,% FPKM,Pharmacological Activity,NCBI Link,BLAST hit
comp0_c1_seq44,SP08,6140.5,1.617%,fibrinogenase; does not clot fibrinogen; does not activate plasminogen,Q8AY80.1,gi|82242793|sp|Q8AY80.1|VSPS1_TRIST RecName: Full=Thrombin-like enzyme stejnefibrase-1; Flags: Precursor >gi|24266796|gb|AAN52348.1| stejnefibrase 1 [Viridovipera stejnegeri]
comp0_c1_seq18,SP09,2033.1,0.535%,Plasminogen Activator; fibrinolytic,ADP88561.1,gi|311223826|gb|ADP88561.1| plasminogen activator-like protein precursor [Agkistrodon piscivorus leucostoma]
comp0_c1_seq45,SP09,5536.8,1.458%,Plasminogen Activator; fibrinolytic,ADP88561.1,gi|311223826|gb|ADP88561.1| plasminogen activator-like protein precursor [Agkistrodon piscivorus leucostoma]
comp0_c1_seq41,SP10,5086.2,1.339%,cleaves fibrinogen β-chain,Q91508.1,gi|13959632|sp|Q91508.1|VSP2_TRIMU RecName: Full=Mucrofibrase-2; AltName: Full=Trimubin; Flags: Precursor >gi|602598|emb|CAA58222.1| mucofirase 2 [Protobothrops mucrosquamatus]
comp0_c1_seq14,SP11,3648.3,0.960%,TLE-like,ABG26977.1,gi|109254958|gb|ABG26977.1| serine proteinase isoform 11 [Sistrurus catenatus edwardsi]
comp0_c1_seq9,SP12,3608.1,0.950%,clots fibrinogen; releases FPA; releases bradykinin,O13069.1,gi|13959622|sp|O13069.1|VSP2_BOTJA RecName: Full=Kinin-releasing and fibrinogen-clotting serine proteinase 2; AltName: Full=KN-BJ 2; Flags: Precursor >gi|2130946|dbj|BAA20283.1| KN-BJ2 [Bothrops jararaca]
comp0_c1_seq52,SP13,3479.3,0.916%,TLE-like,AAC61838.1,gi|3668352|gb|AAC61838.1| salmobin [Gloydius halys]
comp0_c1_seq16,SP14,2899.8,0.763%,TLE-like,O13063.1,gi|13959621|sp|O13063.1|VSP3_TRIGA RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114128|dbj|BAA19983.1| serine protease [Trimeresurus gramineus]
comp0_c1_seq23,SP15,1920.8,0.506%,TLE-like,O13060.1,gi|13959618|sp|O13060.1|VSPA_TRIGA RecName: Full=Venom serine proteinase 2A; Flags: Precursor >gi|2114122|dbj|BAA19980.1| serine protease [Trimeresurus gramineus]
comp0_c1_seq43,SP16,1397.7,0.368%,TLE-like,Q71QH6.1,gi|82239726|sp|Q71QH6.1|VSP13_TRIST RecName: Full=Venom serine protease KN13; Flags: Precursor >gi|33307101|gb|AAQ02911.1| serine protease KN13 precursor [Viridovipera stejnegeri]
comp0_c1_seq31,SP17,1153.8,0.304%,-------,Q072L6.1,gi|123883733|sp|Q072L6.1|VSPL_BOTAS RecName: Full=Venom serine proteinase-like; Flags: Precursor >gi|82466483|gb|ABB76280.1| thrombin-like enzyme [Bothrops asper]
comp0_c1_seq53,SP18,1081.9,0.285%,TLE-like,Q71QI3.1,gi|82239733|sp|Q71QI3.1|VSP5_TRIST RecName: Full=Venom serine protease CL5; Flags: Precursor >gi|33307080|gb|AAQ02904.1| serine protease CL5 precursor [Viridovipera stejnegeri]
comp0_c1_seq51,SP19,434.8,0.114%,TLE-like,O13058.1,gi|13959616|sp|O13058.1|VSP3_TRIFL RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114118|dbj|BAA19978.1| serine protease [Trimeresurus flavoviridis]
comp0_c1_seq10,SP20,15140.8,3.986%,TLE-like,Q71QI5.1,gi|82239735|sp|Q71QI5.1|VSP03_TRIST RecName: Full=Venom serine protease KN3; Flags: Precursor >gi|33307074|gb|AAQ02902.1| serine protease KN3 precursor [Viridovipera stejnegeri]
comp0_c1_seq26,SP21,16365.9,4.308%,TLE-like,O13058.1,gi|13959616|sp|O13058.1|VSP3_TRIFL RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114118|dbj|BAA19978.1| serine protease [Trimeresurus flavoviridis]
comp0_c1_seq12,SP22,8312.9,2.188%,TLE-like,O13058.1,gi|13959616|sp|O13058.1|VSP3_TRIFL RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114118|dbj|BAA19978.1| serine protease [Trimeresurus flavoviridis]
comp0_c1_seq27,SP23,10579.3,2.785%,TLE-like,ABS12074.1,gi|151499825|gb|ABS12074.1| thrombin-like serine protease 1 [Cryptelytrops albolabris]
comp0_c1_seq29,SP24,4967.5,1.308%,TLE-like,Q71QI1.1,gi|82239731|sp|Q71QI1.1|VSP12_TRIST RecName: Full=Venom serine protease KN12; Flags: Precursor >gi|33307086|gb|AAQ02906.1| serine protease KN12 precursor [Viridovipera stejnegeri]
comp0_c1_seq54,SP25,1774.5,0.467%,TLE-like,AEJ32003.1,gi|338855348|gb|AEJ32003.1| serine proteinase 9 [Crotalus adamanteus]
comp74_c0_seq1,VEGF1,46.8,0.012%,Increases vascular permeability; hypotensive,P67860.1,gi|54036551|sp|P67860.1|VEGFA_TRIFL RecName: Full=Vascular endothelial growth factor A; Short=VEGF-A; AltName: Full=Vascular permeability factor; Short=VPF; Flags: Precursor >gi|51555824|dbj|BAD38847.1| vascular endothelial growth factor 190 isoform precursor [Trimeresurus flavoviridis] >gi|223711925|gb|ACN22044.1| vascular endothelial growth factor A190 isoform precursor [Trimeresurus flavoviridis]
comp74_c0_seq2,VEGF2,58.7,0.015%,Increases vascular permeability; hypotensive,C0K3N4.1,gi|327488517|sp|C0K3N4.1|VEGFA_AGKPI RecName: Full=Vascular endothelial growth factor A; Flags: Precursor >gi|223711919|gb|ACN22041.1| vascular endothelial growth factor A166 isoform precursor [Agkistrodon piscivorus piscivorus]
comp74_c0_seq3,VEGF3,46.3,0.012%,Increases vascular permeability; hypotensive,BAD38846.1,gi|51555822|dbj|BAD38846.1| vascular endothelial growth factor 122 isoform precursor [Trimeresurus flavoviridis]
comp74_c0_seq4,VEGF4,40.1,0.011%,,P67860.1,gi|54036551|sp|P67860.1|VEGFA_TRIFL RecName: Full=Vascular endothelial growth factor A; Short=VEGF-A; AltName: Full=Vascular permeability factor; Short=VPF; Flags: Precursor >gi|51555824|dbj|BAD38847.1| vascular endothelial growth factor 190 isoform precursor [Trimeresurus flavoviridis] >gi|223711925|gb|ACN22044.1| vascular endothelial growth factor A190 isoform precursor [Trimeresurus flavoviridis]
comp74_c0_seq5,VEGF5,71.3,0.019%,Increases vascular permeability; hypotensive,C0K3N4.1,gi|327488517|sp|C0K3N4.1|VEGFA_AGKPI RecName: Full=Vascular endothelial growth factor A; Flags: Precursor >gi|223711919|gb|ACN22041.1| vascular endothelial growth factor A166 isoform precursor [Agkistrodon piscivorus piscivorus]
comp184_c0_seq1,VEGF6,84.8,0.022%,Increases vascular permeability; hypotensive,P67862.1,gi|54036443|sp|P67862.1|TXVE_TRIFL RecName: Full=Snake venom vascular endothelial growth factor toxin; Short=svVEGF; AltName: Full=Vascular endothelial growth factor F; Flags: Precursor >gi|51555818|dbj|BAD38844.1| snake venom vascular endothelial growth 
comp10051_c0_seq1,,2.5,,32,,gi|327265964|ref|XP_003217777.1| PREDICTED: LOW QUALITY PROTEIN: transmembrane protein adipocyte-associated 1 homolog [Anolis carolinensis]
comp1036_c0_seq1,,14.8,,5,,NA
comp1058_c0_seq1,,17.8,,4,,gi|71897167|ref|NP_001026578.1| proteasome subunit alpha type-5 [Gallus gallus] >gi|311771753|ref|NP_001185745.1| putative proteasome alpha 5 subunit [Taeniopygia guttata] >gi|53133117|emb|CAG31964.1| hypothetical protein RCJMB04_14i9 [Gallus gallus]
comp10877_c0_seq1,,2.2,,6,,NA
comp1186_c0_seq1,,6.3,,12,,gi|327267572|ref|XP_003218573.1| PREDICTED: programmed cell death protein 4-like isoform 1 [Anolis carolinensis]
comp1195_c0_seq1,,8.1,,4,,NA
comp1202_c0_seq1,,12.8,,41,,gi|327275471|ref|XP_003222497.1| PREDICTED: nuclear receptor subfamily 1 group D member 1-like [Anolis carolinensis]
comp12202_c0_seq1,,2.2,,32,,NA
comp1222_c0_seq1,,8.6,,28,,NA
comp12269_c0_seq1,,1.7,,5,,NA
comp12324_c0_seq1,,2,,4,,NA
comp1287_c0_seq1,,4.7,,16,,NA
comp12870_c0_seq1,,1.6,,7,,NA
comp13129_c0_seq1,,2.6,,7,,NA
comp1341_c0_seq1,,14.8,,16,,NA
comp1361_c0_seq1,,3,,12,,NA
comp13994_c0_seq1,,2.4,,7,,NA
comp14195_c0_seq1,,2.1,,13,,NA
comp14481_c0_seq1,,1.9,,5,,NA
comp1492_c0_seq9,,2.3,,6,,NA
comp15048_c0_seq1,,2.2,,6,,NA
comp1534_c0_seq1,,7,,25,,gi|327265815|ref|XP_003217703.1| PREDICTED: protein kinase C delta type-like [Anolis carolinensis]
comp1534_c0_seq2,,6.5,,33,,gi|327265815|ref|XP_003217703.1| PREDICTED: protein kinase C delta type-like [Anolis carolinensis]
comp15592_c0_seq1,,1.8,,14,,NA
comp1612_c0_seq1,,3.5,,7,,NA
comp1619_c0_seq1,,4.8,,16,,gi|327262006|ref|XP_003215817.1| PREDICTED: transmembrane protein 181-like [Anolis carolinensis]
comp17027_c0_seq1,,1.9,,8,,NA
comp1743_c0_seq1,,6.1,,39,,NA
comp1756_c0_seq1,,8.3,,8,,NA
comp17684_c0_seq1,,1.8,,30,,NA
comp17696_c0_seq1,,1.7,,5,,NA
comp17829_c0_seq1,,2.2,,4,,NA
comp18355_c0_seq1,,2.2,,6,,NA
comp18379_c0_seq1,,1.9,,5,,NA
comp1927_c0_seq5,,2,,23,,gi|327276553|ref|XP_003223034.1| PREDICTED: peroxisomal NADH pyrophosphatase NUDT12-like [Anolis carolinensis]
comp1995_c0_seq2,,4.8,,12,,PREDICTED: general vesicular transport factor p115-like [Anolis carolinensis]
comp20384_c0_seq1,,1.6,,6,,NA
comp20903_c0_seq1,,1.8,,5,,NA
comp2116_c0_seq1,,7.8,,25,,gi|327264943|ref|XP_003217268.1| PREDICTED: transmembrane protein 104-like [Anolis carolinensis]
comp2174_c0_seq1,,8.7,,9,,gi|119331076|ref|NP_001073185.1| xaa-Pro dipeptidase [Gallus gallus] >gi|53130802|emb|CAG31730.1| hypothetical protein RCJMB04_10d1 [Gallus gallus]
comp2247_c0_seq1,,1.1,,13,,gi|327261903|ref|XP_003215766.1| PREDICTED: e3 ubiquitin-protein ligase HUWE1-like [Anolis carolinensis]
comp23058_c0_seq1,,1.5,,9,,NA
comp23870_c0_seq1,,1.7,,4,,NA
comp2402_c0_seq1,,3.6,,54,,gi|327260765|ref|XP_003215204.1| PREDICTED: ATP-binding cassette sub-family A member 12-like [Anolis carolinensis]
comp2402_c0_seq2,,1.3,,26,,gi|327260765|ref|XP_003215204.1| PREDICTED: ATP-binding cassette sub-family A member 12-like [Anolis carolinensis]
comp2405_c0_seq1,,7.4,,4,,NA
comp24603_c0_seq1,,1.8,,4,,NA
comp24811_c0_seq1,,1.6,,6,,gi|327260558|ref|XP_003215101.1| PREDICTED: pleckstrin homology domain-containing family G member 3-like [Anolis carolinensis]
comp24937_c0_seq1,,1.6,,7,,NA
comp2569_c0_seq1,,4.2,,16,,gi|327267544|ref|XP_003218560.1| PREDICTED: STE20-like serine/threonine-protein kinase-like [Anolis carolinensis]
comp25781_c0_seq1,,1.5,,5,,NA
comp26139_c0_seq1,,1.4,,4,,NA
comp26572_c0_seq1,,1.8,,8,,gi|350587510|ref|XP_003482430.1| PREDICTED: pre-mRNA 3'-end-processing factor FIP1-like [Sus scrofa]
comp2668_c0_seq1,,7.3,,5,,NA
comp26681_c0_seq1,,1.8,,6,,NA
comp2715_c0_seq1,,6.8,,14,,NA
comp2775_c0_seq1,,4.8,,5,,NA
comp28557_c0_seq1,,1.5,,7,,NA
comp2865_c0_seq2,,3.2,,4,,NA
comp29253_c0_seq1,,1.5,,9,,NA
comp2950_c0_seq1,,4.1,,25,,gi|326916618|ref|XP_003204603.1| PREDICTED: LOW QUALITY PROTEIN: nuclear receptor-binding protein-like [Meleagris gallopavo]
comp30099_c0_seq1,,1.2,,15,,NA
comp3045_c0_seq2,,3.2,,11,,gi|327278112|ref|XP_003223806.1| PREDICTED: peroxisomal targeting signal 1 receptor-like [Anolis carolinensis]
comp3066_c0_seq1,,2.7,,14,,NA
comp3075_c0_seq1,,2.2,,5,,NA
comp3087_c0_seq1,,2.6,,45,,NA
comp3204_c0_seq1,,2.4,,31,,"gi|326921064|ref|XP_003206784.1| PREDICTED: tectonin beta-propeller repeat-containing protein 2-like, partial [Meleagris gallopavo]"
comp32511_c0_seq1,,1.6,,4,,gi|348504260|ref|XP_003439680.1| PREDICTED: probable ATP-dependent RNA helicase DDX56-like [Oreochromis niloticus]
comp33456_c0_seq1,,1.7,,5,,NA
comp33878_c0_seq1,,1.4,,4,,NA
comp3503_c0_seq1,,4,,41,,gi|350578776|ref|XP_003480448.1| PREDICTED: MAX gene-associated protein-like [Sus scrofa]
comp3580_c0_seq3,,3.6,,18,,NA
comp35828_c0_seq1,,1.5,,4,,NA
comp37234_c0_seq1,,1.4,,6,,gi|327279799|ref|XP_003224643.1| PREDICTED: serine protease 27-like [Anolis carolinensis]
comp3790_c0_seq2,,1.6,,23,,gi|224047860|ref|XP_002192274.1| PREDICTED: lysosomal trafficking regulator [Taeniopygia guttata]
comp37979_c0_seq1,,1.3,,7,,NA
comp3967_c0_seq1,,4.3,,5,,NA
comp3982_c0_seq1,,4.7,,8,,NA
comp39882_c0_seq1,,1.6,,11,,NA
comp4175_c0_seq1,,1.9,,17,,gi|327272740|ref|XP_003221142.1| PREDICTED: small subunit processome component 20 homolog [Anolis carolinensis]
comp4419_c0_seq1,,4.9,,55,,NA
comp4577_c0_seq1,,3.1,,15,,NA
comp4677_c0_seq1,,4.2,,7,,gi|348540682|ref|XP_003457816.1| PREDICTED: breast cancer anti-estrogen resistance protein 3-like [Oreochromis niloticus]
comp5047_c0_seq1,,3.1,,24,,NA
comp5255_c0_seq1,,3.7,,6,,NA
comp5294_c0_seq1,,2.8,,42,,NA
comp5614_c0_seq1,,3.8,,14,,NA
comp5796_c0_seq1,,3.8,,53,,gi|327267720|ref|XP_003218647.1| PREDICTED: disintegrin and metalloproteinase domain-containing protein 9-like [Anolis carolinensis]
comp6077_c0_seq1,,2.8,,4,,NA
comp6326_c0_seq1,,1.8,,5,,NA
comp6652_c0_seq1,,2.5,,4,,NA
comp704_c0_seq5,,4.6,,10,,gi|327266398|ref|XP_003217993.1| PREDICTED: serine/threonine-protein phosphatase 1 regulatory subunit 10-like [Anolis carolinensis]
comp729_c0_seq1,,9,,40,,NA
comp751_c0_seq1,,7.8,,10,,gi|327262169|ref|XP_003215898.1| PREDICTED: LOW QUALITY PROTEIN: ERO1-like protein beta-like [Anolis carolinensis]
comp7619_c0_seq1,,2.6,,5,,NA
comp7641_c0_seq1,,3.4,,4,,NA
comp780_c0_seq1,,11.8,,5,,NA
comp7823_c0_seq1,,2.1,,6,,NA
comp8080_c0_seq1,,2,,54,,NA
comp858_c0_seq1,,18.2,,8,,NA
comp873_c0_seq2,,9.3,,6,,NA
comp8909_c0_seq1,,2.5,,11,,PREDICTED: LOW QUALITY PROTEIN: baculoviral IAP repeat-containing protein 6-like [Anolis carolinensis]
