gene_id,gene_symbol,description,gene_type,transcript_accession,protein_accession
107282652,CAVIN1,caveolae associated protein 1,PROTEIN_CODING,XM_015810463.1,XP_015665949.1
107282653,ATP6V0A1,ATPase H+ transporting V0 subunit a1,PROTEIN_CODING,XM_015810464.1,XP_015665950.1
107282661,LOC107282661,cytochrome P450 2U1,PROTEIN_CODING,XM_015810508.1,XP_015665994.1
107282661,LOC107282661,cytochrome P450 2U1,PROTEIN_CODING,XM_015810578.1,XP_015666064.1
107282665,MLYCD,malonyl-CoA decarboxylase,PROTEIN_CODING,XM_015810480.1,XP_015665966.1
107282698,LOC107282698,translational activator of cytochrome c oxidase 1,PROTEIN_CODING,XM_015810512.1,XP_015665998.1
107282701,LOC107282701,structure-specific endonuclease subunit slx1,PROTEIN_CODING,XM_015810518.1,XP_015666004.1
107282701,LOC107282701,structure-specific endonuclease subunit slx1,PROTEIN_CODING,XM_015810517.1,XP_015666003.1
107282707,COTL1,coactosin like F-actin binding protein 1,PROTEIN_CODING,XM_015810526.1,XP_015666012.1
107282757,TRA2A,transformer 2 alpha homolog,PROTEIN_CODING,XM_015810573.1,XP_015666059.1
107282757,TRA2A,transformer 2 alpha homolog,PROTEIN_CODING,XM_029283077.1,XP_029138910.1
107282766,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,PROTEIN_CODING,XM_015810585.2,XP_015666071.1
107282766,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,PROTEIN_CODING,XM_015810587.2,XP_015666073.1
107282766,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,PROTEIN_CODING,XM_015810586.1,XP_015666072.1
107282766,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,PROTEIN_CODING,XM_015810584.1,XP_015666070.1
107282768,CBX3,chromobox 3,PROTEIN_CODING,XM_015810589.1,XP_015666075.1
107282768,CBX3,chromobox 3,PROTEIN_CODING,XM_015810588.1,XP_015666074.1
107282768,CBX3,chromobox 3,PROTEIN_CODING,XM_015810590.1,XP_015666076.1
107282775,CPVL,carboxypeptidase vitellogenic like,PROTEIN_CODING,XM_015810600.1,XP_015666086.1
107282775,CPVL,carboxypeptidase vitellogenic like,PROTEIN_CODING,XM_015810599.1,XP_015666085.1
107282779,FKBP14,FKBP prolyl isomerase 14,PROTEIN_CODING,XM_015810605.1,XP_015666091.1
107282779,FKBP14,FKBP prolyl isomerase 14,PROTEIN_CODING,XM_015810603.1,XP_015666089.1
107282788,NPY,neuropeptide Y,PROTEIN_CODING,XM_015810613.1,XP_015666099.1
107282813,PRTFDC1,phosphoribosyl transferase domain containing 1,PROTEIN_CODING,XM_015810640.2,XP_015666126.1
107282814,ENKUR,"enkurin, TRPC channel interacting protein",PROTEIN_CODING,XM_015810641.1,XP_015666127.1
107282814,ENKUR,"enkurin, TRPC channel interacting protein",PROTEIN_CODING,XM_015810642.1,XP_015666128.1
107282815,LOC107282815,protein adenylyltransferase SelO,PROTEIN_CODING,XM_015810643.1,XP_015666129.1
107282816,ABI1,abl interactor 1,PROTEIN_CODING,XM_015810645.1,XP_015666131.1
107282816,ABI1,abl interactor 1,PROTEIN_CODING,XM_015810646.1,XP_015666132.1
107282816,ABI1,abl interactor 1,PROTEIN_CODING,XM_015810644.1,XP_015666130.1
107282865,CIRBP,cold inducible RNA binding protein,PROTEIN_CODING,XR_001548789.1,
107282865,CIRBP,cold inducible RNA binding protein,PROTEIN_CODING,XR_001548788.1,
107282865,CIRBP,cold inducible RNA binding protein,PROTEIN_CODING,XM_015810698.1,XP_015666184.1
107282865,CIRBP,cold inducible RNA binding protein,PROTEIN_CODING,XM_015810697.1,XP_015666183.1
107282869,FSTL3,follistatin like 3,PROTEIN_CODING,XM_015810703.1,XP_015666189.1
107282884,UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1,PROTEIN_CODING,XM_015810720.1,XP_015666206.1
107282884,UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1,PROTEIN_CODING,XM_015810722.1,XP_015666208.1
107282884,UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1,PROTEIN_CODING,XM_015810721.1,XP_015666207.1
107282901,RAB5A,"RAB5A, member RAS oncogene family",PROTEIN_CODING,XM_015810738.2,XP_015666224.1
107282901,RAB5A,"RAB5A, member RAS oncogene family",PROTEIN_CODING,XM_015810739.2,XP_015666225.1
107282909,BTD,biotinidase,PROTEIN_CODING,XM_015810748.1,XP_015666234.1
107282959,SOSTDC1,sclerostin domain containing 1,PROTEIN_CODING,XM_015810796.1,XP_015666282.1
107282959,SOSTDC1,sclerostin domain containing 1,PROTEIN_CODING,XM_015810797.1,XP_015666283.1
107282960,ANKMY2,ankyrin repeat and MYND domain containing 2,PROTEIN_CODING,XM_015810798.1,XP_015666284.1
107282991,SLC35B3,solute carrier family 35 member B3,PROTEIN_CODING,XM_015810833.1,XP_015666319.1
107282991,SLC35B3,solute carrier family 35 member B3,PROTEIN_CODING,XM_015810832.1,XP_015666318.1
107282991,SLC35B3,solute carrier family 35 member B3,PROTEIN_CODING,XM_029283118.1,XP_029138951.1
107282997,DSP,desmoplakin,PROTEIN_CODING,XM_015810839.1,XP_015666325.1
107282998,RIOK1,RIO kinase 1,PROTEIN_CODING,XM_015810840.1,XP_015666326.1
107282999,LOC107282999,hemoglobin subunit alpha,PROTEIN_CODING,XM_015810841.1,XP_015666327.1
107283023,GPX7,glutathione peroxidase 7,PROTEIN_CODING,XM_015810865.1,XP_015666351.1
107283031,TCEANC2,transcription elongation factor A N-terminal and central domain containing 2,PROTEIN_CODING,XM_015810872.1,XP_015666358.1
107283032,TMEM59,transmembrane protein 59,PROTEIN_CODING,XM_015810874.1,XP_015666360.1
107283032,TMEM59,transmembrane protein 59,PROTEIN_CODING,XM_015810875.1,XP_015666361.1
107283036,YIPF1,Yip1 domain family member 1,PROTEIN_CODING,XM_015810881.1,XP_015666367.1
107283036,YIPF1,Yip1 domain family member 1,PROTEIN_CODING,XM_015810882.1,XP_015666368.1
107283038,NDC1,NDC1 transmembrane nucleoporin,PROTEIN_CODING,XM_015810883.1,XP_015666369.1
107283054,BTF3L4,basic transcription factor 3 like 4,PROTEIN_CODING,XM_015810903.2,XP_015666389.1
107283054,BTF3L4,basic transcription factor 3 like 4,PROTEIN_CODING,XM_015810902.1,XP_015666388.1
107283058,OSBPL9,oxysterol binding protein like 9,PROTEIN_CODING,XM_015810907.1,XP_015666393.1
107283058,OSBPL9,oxysterol binding protein like 9,PROTEIN_CODING,XM_015810906.1,XP_015666392.1
107283117,TMTC3,transmembrane O-mannosyltransferase targeting cadherins 3,PROTEIN_CODING,XM_015810969.1,XP_015666455.1
107283118,KITLG,KIT ligand,PROTEIN_CODING,XM_015810970.1,XP_015666456.1
107283118,KITLG,KIT ligand,PROTEIN_CODING,XM_015810971.1,XP_015666457.1
107283119,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,PROTEIN_CODING,XM_029283144.1,XP_029138977.1
107283119,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,PROTEIN_CODING,XM_029283145.1,XP_029138978.1
107283128,LACTB,lactamase beta,PROTEIN_CODING,XM_015810983.1,XP_015666469.1
107283145,BNIP2,BCL2 interacting protein 2,PROTEIN_CODING,XM_015811003.1,XP_015666489.1
107283145,BNIP2,BCL2 interacting protein 2,PROTEIN_CODING,XM_015811002.1,XP_015666488.1
107283148,TPM1,tropomyosin 1,PROTEIN_CODING,XM_015811009.1,XP_015666495.1
107283148,TPM1,tropomyosin 1,PROTEIN_CODING,XM_015811014.1,XP_015666500.1
107283148,TPM1,tropomyosin 1,PROTEIN_CODING,XM_015811010.1,XP_015666496.1
107283148,TPM1,tropomyosin 1,PROTEIN_CODING,XM_015811008.1,XP_015666494.1
107283148,TPM1,tropomyosin 1,PROTEIN_CODING,XM_015811006.2,XP_015666492.1
107283148,TPM1,tropomyosin 1,PROTEIN_CODING,XM_015811013.1,XP_015666499.1
107283148,TPM1,tropomyosin 1,PROTEIN_CODING,XM_015811011.1,XP_015666497.1
107283149,APLF,aprataxin and PNKP like factor,PROTEIN_CODING,XM_015811012.2,XP_015666498.1
107283151,FBXL22,F-box and leucine rich repeat protein 22,PROTEIN_CODING,XM_015811016.1,XP_015666502.1
107283178,SNRPB2,small nuclear ribonucleoprotein polypeptide B2,PROTEIN_CODING,XM_029283159.1,XP_029138992.1
107283178,SNRPB2,small nuclear ribonucleoprotein polypeptide B2,PROTEIN_CODING,XM_015811052.2,XP_015666538.1
107283188,KIF16B,kinesin family member 16B,PROTEIN_CODING,XM_015811077.1,XP_015666563.1
107283188,KIF16B,kinesin family member 16B,PROTEIN_CODING,XM_015811085.1,XP_015666571.1
107283188,KIF16B,kinesin family member 16B,PROTEIN_CODING,XM_015811062.1,XP_015666548.1
107283188,KIF16B,kinesin family member 16B,PROTEIN_CODING,XM_015811070.1,XP_015666556.1
107283209,LOC107283209,snaclec bitiscetin subunit beta,PROTEIN_CODING,XM_015811081.1,XP_015666567.1
107283210,FAM216B,family with sequence similarity 216 member B,PROTEIN_CODING,XM_015811082.1,XP_015666568.1
107283214,LOC107283214,zinc transporter ZIP11,PROTEIN_CODING,XM_015811087.1,XP_015666573.1
107283253,MARCHF3,membrane associated ring-CH-type finger 3,PROTEIN_CODING,XM_015811129.1,XP_015666615.1
107283258,SNRNP27,small nuclear ribonucleoprotein U4/U6.U5 subunit 27,PROTEIN_CODING,XM_015811131.1,XP_015666617.1
107283268,LOC107283268,"actin, gamma-enteric smooth muscle",PROTEIN_CODING,XM_015811141.1,XP_015666627.1
107283268,LOC107283268,"actin, gamma-enteric smooth muscle",PROTEIN_CODING,XM_015811142.1,XP_015666628.1
107283269,STAMBP,STAM binding protein,PROTEIN_CODING,XM_015811144.1,XP_015666630.1
107283269,STAMBP,STAM binding protein,PROTEIN_CODING,XM_015811143.1,XP_015666629.1
107283270,DUSP11,dual specificity phosphatase 11,PROTEIN_CODING,XM_029283172.1,XP_029139005.1
107283270,DUSP11,dual specificity phosphatase 11,PROTEIN_CODING,XM_015811145.2,XP_015666631.2
107283279,SLC20A1,solute carrier family 20 member 1,PROTEIN_CODING,XM_015811154.1,XP_015666640.1
107283298,VPS41,VPS41 subunit of HOPS complex,PROTEIN_CODING,XM_015811174.1,XP_015666660.1
107283312,LOC107283312,mothers against decapentaplegic homolog 2,PROTEIN_CODING,XM_015811192.2,XP_015666678.1
107283315,SRI,sorcin,PROTEIN_CODING,XM_015811195.1,XP_015666681.1
107283315,SRI,sorcin,PROTEIN_CODING,XM_015811194.1,XP_015666680.1
107283318,CROT,carnitine O-octanoyltransferase,PROTEIN_CODING,XM_015811200.1,XP_015666686.1
107283318,CROT,carnitine O-octanoyltransferase,PROTEIN_CODING,XM_015811201.1,XP_015666687.1
107283318,CROT,carnitine O-octanoyltransferase,PROTEIN_CODING,XM_015811199.1,XP_015666685.1
107283318,CROT,carnitine O-octanoyltransferase,PROTEIN_CODING,XM_015811198.1,XP_015666684.1
107283321,RPP38,ribonuclease P/MRP subunit p38,PROTEIN_CODING,XM_015811207.1,XP_015666693.1
107283321,RPP38,ribonuclease P/MRP subunit p38,PROTEIN_CODING,XM_015811203.1,XP_015666689.1
107283321,RPP38,ribonuclease P/MRP subunit p38,PROTEIN_CODING,XM_015811204.1,XP_015666690.1
107283321,RPP38,ribonuclease P/MRP subunit p38,PROTEIN_CODING,XM_015811206.1,XP_015666692.1
107283323,MINDY3,MINDY lysine 48 deubiquitinase 3,PROTEIN_CODING,XM_015811209.1,XP_015666695.1
107283325,RSU1,Ras suppressor protein 1,PROTEIN_CODING,XM_015811215.2,XP_015666701.1
107283325,RSU1,Ras suppressor protein 1,PROTEIN_CODING,XM_015811212.2,XP_015666698.1
107283325,RSU1,Ras suppressor protein 1,PROTEIN_CODING,XM_015811213.2,XP_015666699.1
107283329,HACD1,3-hydroxyacyl-CoA dehydratase 1,PROTEIN_CODING,XM_015811220.2,XP_015666706.1
107283329,HACD1,3-hydroxyacyl-CoA dehydratase 1,PROTEIN_CODING,XM_015811218.2,XP_015666704.1
107283331,MRC1,mannose receptor C-type 1,PROTEIN_CODING,XM_015811223.1,XP_015666709.1
107283359,LOC107283359,dystrophin,PROTEIN_CODING,XM_029283193.1,XP_029139026.1
107283373,LOC107283373,torsin-1A-interacting protein 2,PROTEIN_CODING,XM_015811266.1,XP_015666752.1
107283373,LOC107283373,torsin-1A-interacting protein 2,PROTEIN_CODING,XM_015811267.1,XP_015666753.1
107283382,PTK7,protein tyrosine kinase 7 (inactive),PROTEIN_CODING,XM_015811276.2,XP_015666762.1
107283393,MARCHF5,membrane associated ring-CH-type finger 5,PROTEIN_CODING,XM_029283206.1,XP_029139039.1
107283412,TMEM69,transmembrane protein 69,PROTEIN_CODING,XM_015811305.1,XP_015666791.1
107283417,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma,PROTEIN_CODING,XM_015811312.1,XP_015666798.1
107283417,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma,PROTEIN_CODING,XM_015811311.1,XP_015666797.1
107283420,UROD,uroporphyrinogen decarboxylase,PROTEIN_CODING,XM_015811316.1,XP_015666802.1
107283420,UROD,uroporphyrinogen decarboxylase,PROTEIN_CODING,XM_015811315.1,XP_015666801.1
107283420,UROD,uroporphyrinogen decarboxylase,PROTEIN_CODING,XM_015811317.1,XP_015666803.1
107283420,UROD,uroporphyrinogen decarboxylase,PROTEIN_CODING,XM_015811318.1,XP_015666804.1
107283420,UROD,uroporphyrinogen decarboxylase,PROTEIN_CODING,XM_015811314.1,XP_015666800.1
107283426,TOE1,"target of EGR1, exonuclease",PROTEIN_CODING,XM_015811326.1,XP_015666812.1
107283426,TOE1,"target of EGR1, exonuclease",PROTEIN_CODING,XM_015811328.1,XP_015666814.1
107283426,TOE1,"target of EGR1, exonuclease",PROTEIN_CODING,XM_015811325.1,XP_015666811.1
107283429,AKR1A1,aldo-keto reductase family 1 member A1,PROTEIN_CODING,XM_015811330.1,XP_015666816.1
107283429,AKR1A1,aldo-keto reductase family 1 member A1,PROTEIN_CODING,XM_015811333.1,XP_015666819.1
107283429,AKR1A1,aldo-keto reductase family 1 member A1,PROTEIN_CODING,XM_015811331.1,XP_015666817.1
107283430,PRDX1,peroxiredoxin 1,PROTEIN_CODING,XM_015811334.1,XP_015666820.1
107283430,PRDX1,peroxiredoxin 1,PROTEIN_CODING,XM_015811335.1,XP_015666821.1
107283435,ARMH1,armadillo like helical domain containing 1,PROTEIN_CODING,XM_015811342.1,XP_015666828.1
107283436,TMEM53,transmembrane protein 53,PROTEIN_CODING,XM_015811343.1,XP_015666829.1
107283442,ATP6V0B,ATPase H+ transporting V0 subunit b,PROTEIN_CODING,XM_015811352.1,XP_015666838.1
107283442,ATP6V0B,ATPase H+ transporting V0 subunit b,PROTEIN_CODING,XM_015811351.1,XP_015666837.1
107283450,MED8,mediator complex subunit 8,PROTEIN_CODING,XM_015811365.1,XP_015666851.1
107283455,CUNH1orf210,chromosome unknown C1orf210 homolog,PROTEIN_CODING,XM_015811372.1,XP_015666858.1
107283455,CUNH1orf210,chromosome unknown C1orf210 homolog,PROTEIN_CODING,XM_015811373.1,XP_015666859.1
107283460,FAM183A,family with sequence similarity 183 member A,PROTEIN_CODING,XM_015811377.1,XP_015666863.1
107283466,LOC107283466,selenoprotein Pb-like,PROTEIN_CODING,XM_015811385.1,XP_015666871.1
107283466,LOC107283466,selenoprotein Pb-like,PROTEIN_CODING,XM_015811384.1,XP_015666870.1
107283470,SNAPC2,small nuclear RNA activating complex polypeptide 2,PROTEIN_CODING,XM_015811388.1,XP_015666874.1
107283530,GABARAPL2,GABA type A receptor associated protein like 2,PROTEIN_CODING,XM_015811454.1,XP_015666940.1
107283530,GABARAPL2,GABA type A receptor associated protein like 2,PROTEIN_CODING,XM_015811455.1,XP_015666941.1
107283533,NUDT6,nudix hydrolase 6,PROTEIN_CODING,XM_015811461.1,XP_015666947.1
107283544,LOC107283544,5-hydroxyisourate hydrolase,PROTEIN_CODING,XM_015811471.1,XP_015666957.1
107283553,SPRY1,sprouty RTK signaling antagonist 1,PROTEIN_CODING,XM_015811484.1,XP_015666970.1
107283565,LOC107283565,isopentenyl-diphosphate Delta-isomerase 1,PROTEIN_CODING,XM_015811496.2,XP_015666982.2
107283565,LOC107283565,isopentenyl-diphosphate Delta-isomerase 1,PROTEIN_CODING,XM_015811497.2,XP_015666983.1
107283581,KDSR,3-ketodihydrosphingosine reductase,PROTEIN_CODING,XM_015811513.1,XP_015666999.1
107283594,LOC107283594,retinol dehydrogenase 8,PROTEIN_CODING,XM_015811525.1,XP_015667011.1
107283594,LOC107283594,retinol dehydrogenase 8,PROTEIN_CODING,XM_015811526.1,XP_015667012.1
107283595,MAST2,microtubule associated serine/threonine kinase 2,PROTEIN_CODING,XM_015811527.1,XP_015667013.1
107283629,LOC107283629,LIM zinc-binding domain-containing Nebulette,PROTEIN_CODING,XM_015811556.1,XP_015667042.1
107283633,PCNA,proliferating cell nuclear antigen,PROTEIN_CODING,XM_015811564.1,XP_015667050.1
107283635,SPAG6,sperm associated antigen 6,PROTEIN_CODING,XM_015811565.1,XP_015667051.1
107283649,ASB4,ankyrin repeat and SOCS box containing 4,PROTEIN_CODING,XM_015811579.1,XP_015667065.1
107283661,UMAD1,UBAP1-MVB12-associated (UMA) domain containing 1,PROTEIN_CODING,XM_015811594.1,XP_015667080.1
107283677,LOC107283677,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11,PROTEIN_CODING,XM_015811610.2,XP_015667096.1
107283677,LOC107283677,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11,PROTEIN_CODING,XM_015811611.2,XP_015667097.1
107283705,RHBDL2,rhomboid like 2,PROTEIN_CODING,XM_015811636.1,XP_015667122.1
107283715,S100PBP,S100P binding protein,PROTEIN_CODING,XM_029283281.1,XP_029139114.1
107283715,S100PBP,S100P binding protein,PROTEIN_CODING,XM_015811650.1,XP_015667136.1
107283721,CRACR2A,calcium release activated channel regulator 2A,PROTEIN_CODING,XM_015811661.1,XP_015667147.1
107283723,TMEM234,transmembrane protein 234,PROTEIN_CODING,XM_015811660.1,XP_015667146.1
107283725,YRDC,yrdC N6-threonylcarbamoyltransferase domain containing,PROTEIN_CODING,XM_015811663.2,XP_015667149.1
107283741,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,PROTEIN_CODING,XM_015811679.2,XP_015667165.1
107283741,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,PROTEIN_CODING,XM_015811680.1,XP_015667166.1
107283796,LRRC59,leucine rich repeat containing 59,PROTEIN_CODING,XM_015811750.1,XP_015667236.1
107283796,LRRC59,leucine rich repeat containing 59,PROTEIN_CODING,XM_015811759.1,XP_015667245.1
107283796,LRRC59,leucine rich repeat containing 59,PROTEIN_CODING,XM_015811768.1,XP_015667254.1
107283798,FKBP9,FKBP prolyl isomerase 9,PROTEIN_CODING,XM_015811751.1,XP_015667237.1
107283798,FKBP9,FKBP prolyl isomerase 9,PROTEIN_CODING,XM_015811748.1,XP_015667234.1
107283798,FKBP9,FKBP prolyl isomerase 9,PROTEIN_CODING,XM_015811749.1,XP_015667235.1
107283800,NT5C3A,"5'-nucleotidase, cytosolic IIIA",PROTEIN_CODING,XM_015811754.2,XP_015667240.1
107283800,NT5C3A,"5'-nucleotidase, cytosolic IIIA",PROTEIN_CODING,XM_015811755.1,XP_015667241.1
107283800,NT5C3A,"5'-nucleotidase, cytosolic IIIA",PROTEIN_CODING,XM_015811753.1,XP_015667239.1
107283804,SEPTIN7,septin 7,PROTEIN_CODING,XM_015811761.1,XP_015667247.1
107283804,SEPTIN7,septin 7,PROTEIN_CODING,XM_015811760.1,XP_015667246.1
107283804,SEPTIN7,septin 7,PROTEIN_CODING,XM_015811762.2,XP_015667248.1
107283809,GPX8,glutathione peroxidase 8 (putative),PROTEIN_CODING,XM_015811770.1,XP_015667256.1
107283828,TMEM19,transmembrane protein 19,PROTEIN_CODING,XM_015811789.1,XP_015667275.1
107283828,TMEM19,transmembrane protein 19,PROTEIN_CODING,XM_015811790.2,XP_015667276.1
107283828,TMEM19,transmembrane protein 19,PROTEIN_CODING,XM_015811791.1,XP_015667277.1
107283832,CNOT2,CCR4-NOT transcription complex subunit 2,PROTEIN_CODING,XM_015811796.2,XP_015667282.1
107283832,CNOT2,CCR4-NOT transcription complex subunit 2,PROTEIN_CODING,XM_015811795.2,XP_015667281.1
107283834,RAB3IP,RAB3A interacting protein,PROTEIN_CODING,XM_015811797.1,XP_015667283.1
107283834,RAB3IP,RAB3A interacting protein,PROTEIN_CODING,XM_015811798.1,XP_015667284.1
107283838,PPHLN1,periphilin 1,PROTEIN_CODING,XM_015811805.1,XP_015667291.1
107283838,PPHLN1,periphilin 1,PROTEIN_CODING,XM_015811804.1,XP_015667290.1
107283839,ZCRB1,zinc finger CCHC-type and RNA binding motif containing 1,PROTEIN_CODING,XM_015811807.1,XP_015667293.1
107283839,ZCRB1,zinc finger CCHC-type and RNA binding motif containing 1,PROTEIN_CODING,XM_015811808.1,XP_015667294.1
107283839,ZCRB1,zinc finger CCHC-type and RNA binding motif containing 1,PROTEIN_CODING,XM_015811809.1,XP_015667295.1
107283852,CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial",PROTEIN_CODING,XM_015811821.1,XP_015667307.1
107283854,NAXD,NAD(P)HX dehydratase,PROTEIN_CODING,XM_015811823.2,XP_015667309.2
107283859,TMEM106B,transmembrane protein 106B,PROTEIN_CODING,XM_015811832.1,XP_015667318.1
107283859,TMEM106B,transmembrane protein 106B,PROTEIN_CODING,XM_015811830.1,XP_015667316.1
107283859,TMEM106B,transmembrane protein 106B,PROTEIN_CODING,XM_015811828.1,XP_015667314.1
107283859,TMEM106B,transmembrane protein 106B,PROTEIN_CODING,XM_015811831.1,XP_015667317.1
107283859,TMEM106B,transmembrane protein 106B,PROTEIN_CODING,XM_015811833.1,XP_015667319.1
