gene,description,colors
107282217,solute carrier family 35 member E1,turquoise
107282218,transmembrane protein 38A,red
107282219,interferon gamma-inducible protein 30,white
107282220,arrestin domain containing 2,red
107282221,Rho/Rac guanine nucleotide exchange factor 18,turquoise
107282222,insulin receptor,turquoise
107282223,unconventional SNARE in the ER 1 homolog (S. cerevisiae),yellow
107282224,lon peptidase 1 mitochondrial,brown
107282225,excitatory amino acid transporter 1-like,turquoise
107282226,calcyphosine,pink
107282227,transcription factor HES-5-like,red
107282228,RAN binding protein 3,yellow
107282229,myosin IXB,midnightblue
107282230,RAB3A member RAS oncogene family,yellow
107282231,pyroglutamyl-peptidase I,turquoise
107282232,elongation factor for RNA polymerase II,turquoise
107282233,DET1 and DDB1 associated 1,brown
107282234,plasmalemma vesicle associated protein,turquoise
107282235,uncharacterized LOC107282235,darkgreen
107282236,kinesin-like protein kif7,darkgreen
107282237,mitotic spindle positioning,magenta
107282238,mitogen-activated protein kinase kinase kinase 5,blue
107282239,polypyrimidine tract binding protein 1,turquoise
107282240,R3H domain containing 4,brown
107282241,AT-rich interaction domain 3A,turquoise
107282242,ring finger protein 126,salmon
107282243,polymerase (RNA) II subunit E,salmon
107282244,calponin 2,brown
107282245,cactin spliceosome C complex subunit,turquoise
107282246,fizzy/cell division cycle 20 related 1,yellow
107282247,BCL2 associated transcription factor 1,purple
107282248,GRAM domain-containing protein 3-like,pink
107282249,deoxyhypusine hydroxylase/monooxygenase,turquoise
107282250,abhydrolase domain containing 17A,brown
107282251,REX1 RNA exonuclease 1 homolog,turquoise
107282252,uncharacterized LOC107282252,blue
107282253,methyl-CpG binding domain protein 3,turquoise
107282254,casein kinase 1 gamma 2,turquoise
107282255,MAP kinase interacting serine/threonine kinase 2,darkred
107282256,MOB kinase activator 3A,brown
107282257,IZUMO family member 4,turquoise
107282258,adaptor related protein complex 3 delta 1 subunit,darkgrey
107282259,pleckstrin homology domain containing J1,brown
107282260,junctional sarcoplasmic reticulum protein 1,red
107282261,ornithine decarboxylase antizyme 1,brown
107282262,myosin IF,cyan
107282263,mucin-16-like,pink
107282264,dynein axonemal light chain 4,pink
107282265,uncharacterized LOC107282265,purple
107282266,mediator complex subunit 26,brown
107282267,small integral membrane protein 7,brown
107282268,tetraspanin-33-like,blue
107282269,SIN3 transcription regulator family member B,turquoise
107282270,F2R like thrombin/trypsin receptor 3,blue
107282271,tumor necrosis factor receptor superfamily member 14-like,royalblue
107282272,uncharacterized LOC107282272,blue
107282273,phosphoinositide-3-kinase regulatory subunit 2,yellow
107282274,microtubule associated serine/threonine kinase 3,turquoise
107282275,ribosomal protein L36,lightgreen
107282276,NADH:ubiquinone oxidoreductase subunit A11,orange
107282277,HAUS augmin like complex subunit 8,darkred
107282278,MPV17 mitochondrial membrane protein-like 2,turquoise
107282279,jun D proto-oncogene,green
107282280,LSM4 homolog U6 small nuclear RNA and mRNA degradation associated,purple
107282281,uncharacterized LOC107282281,blue
107282283,leucine rich repeat containing 25,darkturquoise
107282284,single stranded DNA binding protein 4,magenta
107282285,inositol-3-phosphate synthase 1,blue
107282286,mitochondrial ribosomal protein L34,brown
107282287,myosin-11-like,darkred
107282288,coiled-coil serine rich protein 1,turquoise
107282289,uncharacterized LOC107282289,green
107282290,phospholipid phosphatase related 3,blue
107282291,complement factor D (adipsin),pink
107282292,mediator complex subunit 16,yellow
107282293,fibroblast growth factor 22,blue
107282294,thromboxane A2 receptor,blue
107282295,high mobility group 20B,yellow
107282296,chromosome unknown open reading frame human C19orf71,green
107282297,Kruppel-like factor 16,black
107282298,mex-3 RNA binding family member D,turquoise
107282299,solute carrier family 10 (sodium/bile acid cotransporter) member 2,midnightblue
107282300,nuclear receptor ROR-beta-like,magenta
107282301,secretory carrier membrane protein 4,turquoise
107282302,BTB domain containing 2,yellow
107282303,splicing factor 3a subunit 2,turquoise
107282304,olfactory receptor 6B1-like,green
107282310,excision repair cross-complementation group 5,blue
107282315,olfactory receptor 10A7-like,pink
107282318,olfactory receptor 10A7,greenyellow
107282321,importin 5,salmon
107282325,olfactory receptor 10A4-like,brown
107282327,olfactory receptor 6M1-like,greenyellow
107282328,olfactory receptor 10C1-like,greenyellow
107282329,olfactory receptor 10A2-like,greenyellow
107282330,olfactory receptor 10A2-like,greenyellow
107282331,olfactory receptor 10A3-like,greenyellow
107282335,semaphorin-6A-like,red
107282336,olfactory receptor 6B1-like,brown
107282337,olfactory receptor 10A7-like,brown
107282339,FERM ARH/RhoGEF and pleckstrin domain protein 1,turquoise
107282340,olfactory receptor 6B1-like,green
107282344,olfactory receptor 1009-like,pink
107282345,olfactory receptor 11L1-like,red
107282346,olfactory receptor 11L1-like,pink
107282349,olfactory receptor 1361-like,blue
107282350,serine/threonine kinase 24,brown
107282356,olfactory receptor 1M1-like,greenyellow
107282361,dickkopf WNT signaling pathway inhibitor 2,turquoise
107282362,solute carrier family 15 (oligopeptide transporter) member 1,turquoise
107282365,natterin-3-like,green
107282369,aspartate dehydrogenase domain containing,green
107282370,SH3 and multiple ankyrin repeat domains 1,blue
107282373,dedicator of cytokinesis 9,brown
107282374,myosin binding protein C fast type,red
107282375,BCL2 like 12,darkorange
107282376,lin-7 homolog B crumbs cell polarity complex component,turquoise
107282377,lutropin subunit beta-like,lightcyan
107282378,testis specific serine kinase substrate,turquoise
107282379,proline rich 12,darkorange
107282380,F-box protein 47,red
107282381,parathyroid hormone/parathyroid hormone-related peptide receptor-like,red
107282382,histone deacetylase 5-like,lightcyan
107282383,phospholipase A2 group IVC,darkorange
107282384,protein-lysine methyltransferase METTL21E-like,magenta
107282385,epididymal sperm-binding protein 1-like,pink
107282386,platelet basic protein-like,pink
107282387,charged multivesicular body protein 2A,lightcyan
107282388,ubiquitin conjugating enzyme E2M,lightcyan
107282389,tripartite motif containing 28,lightcyan
107282390,zinc finger protein 239-like,lightcyan
107282391,zinc finger protein 436-like,lightcyan
107282392,very long-chain acyl-CoA synthetase-like,darkorange
107282393,tripartite motif-containing protein 16-like protein,turquoise
107282394,tripartite motif-containing protein 7-like,green
107282395,THAP domain containing 7,lightcyan
107282396,RNA binding protein fox-1 homolog 1-like,red
107282397,Josephin domain containing 2,lightcyan
107282398,zinc finger BED domain-containing protein 1-like,lightcyan
107282399,C-type lectin domain family 11 member A,black
107282400,ER membrane protein complex subunit 10,saddlebrown
107282401,polymerase (DNA) delta 1 catalytic subunit,lightcyan
107282402,nuclear receptor subfamily 1 group H member 2,lightcyan
107282403,meteorin glial cell differentiation regulator-like,turquoise
107282404,RuvB-like AAA ATPase 2,lightcyan
107282405,transient receptor potential cation channel subfamily M member 4,darkorange
107282406,histidine rich calcium binding protein,red
107282407,PTPRF interacting protein alpha 3,turquoise
107282408,small nuclear ribonucleoprotein U1 70kDa subunit,saddlebrown
107282409,potassium voltage-gated channel subfamily A member 7,red
107282410,uncharacterized LOC107282410,green
107282411,mediator complex subunit 25,lightcyan
107282412,fuzzy planar cell polarity protein,green
107282413,tubulin folding cofactor D,turquoise
107282414,adaptor related protein complex 2 alpha 1 subunit,turquoise
107282415,reticulocalbin 3,turquoise
107282416,nitric oxide synthase interacting protein,lightcyan
107282417,proline rich Gla (G-carboxyglutamic acid) 2,darkorange
107282418,SR-related CTD-associated factor 1,saddlebrown
107282419,interferon regulatory factor 3,darkorange
107282420,LIM and SH3 protein 1,lightcyan
107282421,plexin domain containing 1,blue
107282422,DEAD-box helicase 42,lightcyan
107282423,zinc finger protein 750,turquoise
107282424,coiled-coil domain containing 47,lightcyan
107282425,olfactory receptor 5V1-like,green
107282426,zinc finger and BTB domain containing 45,pink
107282428,very long-chain acyl-CoA synthetase-like,pink
107282430,E3 ubiquitin-protein ligase TRIM39-like,green
107282431,leucine rich repeat containing 4B,lightcyan
107282433,UDP-GlcNAc:betaGal beta-13-N-acetylglucosaminyltransferase-like 1,turquoise
107282434,Spi-B transcription factor (Spi-1/PU.1 related),darkturquoise
107282435,polynucleotide kinase 3'-phosphatase,green
107282436,neurotrophin 4,blue
107282437,carnitine palmitoyltransferase 1C,blue
107282438,paired box protein Pax-6-like,red
107282439,related RAS viral (r-ras) oncogene homolog,blue
107282440,ADP ribosylation factor like GTPase 5C,blue
107282441,synaptogyrin 4,green
107282442,protein kinase C gamma type,pink
107282443,uncharacterized LOC107282443,turquoise
107282444,serine/threonine-protein kinase LMTK3-like,magenta
107282445,brain-specific angiogenesis inhibitor 1-associated protein 2-like,lightcyan
107282446,toll-like receptor 13,red
107282448,fucosyltransferase 2,green
107282449,protein tweety homolog 1-like,green
107282450,immunoglobulin superfamily member 1-like,darkturquoise
107282451,fructosamine 3 kinase,tan
107282452,lysine methyltransferase 5C,darkorange
107282455,transmembrane protein 86B,brown
107282456,synaptotagmin 5,blue
107282460,apoptosis regulator BAX-like,darkorange
107282461,mitogen-activated protein kinase kinase 4,red
107282462,ataxin 2 like,saddlebrown
107282463,probable proline dehydrogenase 2,green
107282464,ceroid-lipofuscinosis neuronal 3,turquoise
107282465,3'-phosphoadenosine 5'-phosphosulfate synthase 1,turquoise
107282466,sulfotransferase 1C2A-like,green
107282467,sulfotransferase 1C2-like,brown
107282468,serine protease 27-like,pink
107282469,KDEL endoplasmic reticulum protein retention receptor 1,lightcyan
107282470,transmembrane protein 143,red
107282471,coiled-coil domain containing 114,green
107282472,voltage-dependent calcium channel gamma-6 subunit-like,red
107282473,transmembrane protein 220,brown
107282474,suppressor of cytokine signaling 3-like,darkorange
107282475,40S ribosomal protein S9,saddlebrown
107282476,neuronal pentraxin-1-like,pink
107282477,cytohesin-2,magenta
107282478,EPS8 like 1,turquoise
107282479,cdc42 effector protein 1-like,lightcyan
107282480,leukocyte receptor cluster member 9-like,darkorange
107282481,leukocyte receptor cluster (LRC) member 8,lightcyan
107282482,HSPA (heat shock 70kDa) binding protein cytoplasmic cochaperone 1,lightcyan
107282483,protein phosphatase 6 regulatory subunit 1,darkorange
107282484,dynein (axonemal) assembly factor 3,green
107282485,branched chain amino-acid transaminase 2 mitochondrial,turquoise
107282486,hydroxysteroid (17-beta) dehydrogenase 14,saddlebrown
107282487,protein phosphatase 1 regulatory subunit 15A,darkorange
107282488,nucleobindin 1,lightcyan
107282489,tubby-related protein 3-like,lightcyan
107282490,ADP-ribose/CDP-alcohol diphosphatase manganese-dependent,green
107282491,ribosomal protein L13a,saddlebrown
107282492,aldehyde dehydrogenase 16 family member A1,turquoise
107282493,GTPase HRas-like,saddlebrown
107282494,TEA domain transcription factor 2,red
107282495,CD37 molecule,darkred
107282496,solute carrier family 6 member 16,turquoise
107282497,ferritin higher subunit-like,midnightblue
107282498,glycogen [starch] synthase muscle-like,red
107282499,ferritin light chain oocyte isoform-like,darkorange
107282500,protein arginine N-methyltransferase 1,lightcyan
107282501,myosin-3-like,blue
107282502,TBC1 domain family member 17-like,turquoise
107282503,protein kinase C and casein kinase substrate in neurons protein 2-like,red
107282504,cathepsin D-like,darkgreen
107282505,testicular acid phosphatase homolog,midnightblue
107282506,uncharacterized LOC107282506,midnightblue
107282507,rabaptin RAB GTPase binding effector protein 2,darkorange
107282508,Tu translation elongation factor mitochondrial,saddlebrown
107282509,SH2B adaptor protein 1,lightcyan
107282510,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,red
107282511,nuclear factor of activated T-cells cytoplasmic calcineurin-dependent 2 interacting protein,lightcyan
107282512,spinster homolog 1 (Drosophila),lightcyan
107282513,linker for activation of T-cells,royalblue
107282514,eukaryotic translation initiation factor 3 subunit C,saddlebrown
107282515,apolipoprotein B receptor-like,saddlebrown
107282516,myocardin,blue
107282517,phosphatidylinositol transfer protein beta isoform-like,pink
107282518,sulfotransferase family cytosolic 1B member 1-like,darkorange
107282519,uncharacterized LOC107282519,saddlebrown
107282520,nuclear protein 1-like,turquoise
107282521,sulfotransferase 1A1-like,brown
107282522,zinc finger and SCAN domain-containing protein 21-like,turquoise
107282523,zinc finger protein 165-like,black
107282524,protein SCO1 homolog mitochondrial,purple
107282525,protein kinase membrane associated tyrosine/threonine 1,darkorange
107282526,claudin-4-like,turquoise
107282527,serine/arginine repetitive matrix protein 2-like,darkgrey
107282528,transcription elongation factor B polypeptide 2,lightcyan
107282529,membrane bound O-acyltransferase domain containing 7,darkorange
107282530,tRNA splicing endonuclease subunit 34,lightcyan
107282531,glutamate-rich WD repeat containing 1,yellow
107282534,epithelial membrane protein 3,black
107282535,myeloid-associated differentiation marker homolog,black
107282538,voltage-dependent calcium channel gamma-7 subunit,turquoise
107282539,troponin T1 slow skeletal type,red
107282540,protein phosphatase 1 regulatory subunit 12C,turquoise
107282541,pleckstrin homology domain containing A4,black
107282542,myosin-3-like,greenyellow
107282543,dihydrodiol dehydrogenase,blue
107282544,PIH1 domain containing 1,lightcyan
107282545,fms related tyrosine kinase 3 ligand,royalblue
107282546,galanin peptides-like,brown
107282547,apoptosis regulator BAX-like,green
107282548,polymerase (RNA) II subunit L,lightcyan
107282549,tetraspanin-4-like,darkorange
107282550,proline-rich AKT1 substrate 1-like,blue
107282553,protein ADP-ribosylarginine hydrolase-like,turquoise
107282554,calcium-binding protein 5-like,lightcyan
107282555,sulfotransferase 1C2-like,cyan
107282557,sulfotransferase 1C2-like,greenyellow
107282559,sulfotransferase 1C2-like,green
107282560,SAGA complex associated factor 29,lightcyan
107282561,sulfotransferase 1A1-like,brown
107282562,sphingomyelin synthase 2,salmon
107282563,kringle containing transmembrane protein 2,turquoise
107282564,progestin and adipoQ receptor family member 4-like,lightcyan
107282565,uncharacterized LOC107282565,brown
107282566,claudin-9-like,magenta
107282567,ATP-binding cassette sub-family A member 10-like,pink
107282568,ATP-binding cassette sub-family A member 5-like,red
107282569,mitogen-activated protein kinase kinase 6,red
107282570,regulator of G-protein signaling 9,turquoise
107282571,guanine nucleotide binding protein (G protein) alpha 13,yellow
107282572,archaelysin family metallopeptidase 2,green
107282573,solute carrier family 16 member 6,turquoise
107282574,WD repeat domain phosphoinositide interacting 1,turquoise
107282575,arylsulfatase G,turquoise
107282576,protein kinase cAMP-dependent type I regulatory subunit alpha,yellow
107282577,family with sequence similarity 20 member A,black
107282578,ATP-binding cassette sub-family A member 10-like,brown
107282579,ATP-binding cassette sub-family A member 5-like,red
107282580,inward rectifier potassium channel 2,red
107282581,potassium voltage-gated channel subfamily J member 16,red
107282584,mesenchyme homeobox 1,lightcyan
107282585,distal-less homeobox 4,midnightblue
107282586,phosphatase orphan 1,midnightblue
107282587,beta-14-N-acetyl-galactosaminyltransferase 2,green
107282589,tubulin tyrosine ligase like 6,pink
107282592,homeobox B4,greenyellow
107282593,homeobox B1,red
107282594,src kinase associated phosphoprotein 1,green
107282595,T-box 21,red
107282596,suppressor of cytokine signaling 7,brown
107282597,potassium voltage-gated channel subfamily H member 4,pink
107282598,hypocretin (orexin) neuropeptide precursor,lightcyan
107282599,histone deacetylase 5,darkorange
107282600,LSM12 homolog,lightcyan
107282601,membrane protein palmitoylated 3,pink
107282602,ras-related protein Rab-18-B-like,red
107282603,dual specificity phosphatase 3,red
107282604,transmembrane protein 101,lightcyan
107282605,collagen type I alpha 1,midnightblue
107282606,sarcoglycan alpha,red
107282607,protein phosphatase 1 regulatory subunit 9B,blue
107282608,sterile alpha motif domain containing 14,blue
107282609,pyruvate dehydrogenase kinase 2,lightcyan
107282610,integrin subunit alpha 3,darkorange
107282611,distal-less homeobox 3,midnightblue
107282612,lysine acetyltransferase 7,red
107282613,family with sequence similarity 117 member A,red
107282614,coiled-coil domain containing 90B,turquoise
107282615,solute carrier family 35 member B1,turquoise
107282616,speckle type BTB/POZ protein,black
107282617,prohibitin,saddlebrown
107282618,zinc finger protein 652,turquoise
107282619,ABI family member 3,darkorange
107282620,SNF8 ESCRT-II complex subunit,lightcyan
107282621,ubiquitin conjugating enzyme E2Z,saddlebrown
107282622,ATP synthase H+ transporting mitochondrial Fo complex subunit C1 (subunit 9),saddlebrown
107282623,calcium binding and coiled-coil domain 2,lightcyan
107282624,ankyrin repeat domain-containing protein 42-like,pink
107282625,ADP-ribosylation factor 1-like,blue
107282626,sorting nexin 11,saddlebrown
107282627,chromobox 1,lightcyan
107282628,nuclear factor erythroid 2 like 1,lightcyan
107282629,coatomer protein complex subunit zeta 2,saddlebrown
107282630,CDK5 regulatory subunit associated protein 3,saddlebrown
107282631,proline rich 15 like,saddlebrown
107282632,Sp2 transcription factor,lightcyan
107282633,PCF11 cleavage and polyadenylation factor subunit,brown
107282634,Sp6 transcription factor,midnightblue
107282635,secernin 2,darkorange
107282636,mitochondrial ribosomal protein L10,lightcyan
107282637,TBK1 binding protein 1,darkorange
107282638,karyopherin subunit beta 1,lightcyan
107282639,aminopeptidase puromycin sensitive,lightcyan
107282640,mitochondrial ribosomal protein L45,lightcyan
107282641,Rho GTPase activating protein 23,lightcyan
107282642,SRC kinase signaling inhibitor 1,pink
107282643,myeloid/lymphoid or mixed-lineage leukemia; translocated to 6,green
107282644,cadherin 13,red
107282645,coenzyme Q-binding protein COQ10 homolog B mitochondrial-like,salmon
107282646,CDGSH iron sulfur domain 3,lightcyan
107282647,Coenzyme A synthase,lightcyan
107282648,RAB5C member RAS oncogene family,lightcyan
107282649,lysine acetyltransferase 2A,darkorange
107282650,signal transducer and activator of transcription 5B,magenta
107282651,signal transducer and activator of transcription 3 (acute-phase response factor),blue
107282652,polymerase I and transcript release factor,magenta
107282653,ATPase H+ transporting V0 subunit a1,lightcyan
107282654,potassium voltage-gated channel modifier subfamily G member 4,black
107282655,glucose 6 phosphatase catalytic 3,lightcyan
107282656,ETS variant 4,black
107282657,goannatyrotoxin-Vere1-like,lightcyan
107282658,membrane protein palmitoylated 2,black
107282659,uncharacterized LOC107282659,darkorange
107282660,neurexophilin 3,turquoise
107282661,cytochrome P450 2U1,pink
107282662,nerve growth factor receptor,black
107282663,guanine nucleotide binding protein (G protein) gamma transducing activity polypeptide 2,turquoise
107282664,insulin like growth factor 2 mRNA binding protein 1,magenta
107282665,malonyl-CoA decarboxylase,darkred
107282668,homeobox B7,greenyellow
107282673,pyridoxamine 5'-phosphate oxidase,blue
107282674,heat shock factor binding protein 1,green
107282675,leucine rich repeat containing 46,green
107282676,oxysterol binding protein like 7,cyan
107282677,N-acetylglucosaminidase alpha,lightcyan
107282678,uncharacterized LOC107282678,pink
107282679,acid-sensing ion channel 2-like,red
107282680,sacsin-like,darkgreen
107282682,T-box transcription factor TBX6-like,red
107282684,aspartate beta-hydroxylase domain-containing protein 2-like,black
107282685,seizure related 6 homolog (mouse)-like 2,magenta
107282686,zymogen granule protein 16,pink
107282687,leukosialin-like,yellow
107282688,zymogen granule membrane protein 16-like,brown
107282689,uncharacterized LOC107282689,green
107282690,septin-1-like,royalblue
107282692,histone H3-like,green
107282695,histone H4,pink
107282696,histone H4,turquoise
107282697,ATPase secretory pathway Ca2+ transporting 2,turquoise
107282698,translational activator of cytochrome c oxidase 1,turquoise
107282699,zinc finger protein 479-like,lightcyan
107282700,zinc finger and SCAN domain-containing protein 21-like,turquoise
107282701,structure-specific endonuclease subunit slx1-like,green
107282702,mitogen-activated protein kinase 1-like,turquoise
107282703,serine/threonine-protein phosphatase 4 catalytic subunit,lightcyan
107282704,fructose-bisphosphate aldolase A,red
107282705,uncharacterized LOC107282705,pink
107282706,major vault protein,darkorange
107282707,coactosin-like F-actin binding protein 1,black
107282708,family with sequence similarity 57 member B,red
107282709,myc-associated zinc finger protein-like,yellow
107282710,serine/threonine-protein kinase TAO2,lightcyan
107282711,insulin-like growth factor-binding protein 3 receptor,turquoise
107282712,uncharacterized LOC107282712,saddlebrown
107282714,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1-like,green
107282715,dual specificity protein phosphatase 14-like,pink
107282716,ubiquitin specific peptidase 10,salmon
107282717,THO complex 6,lightcyan
107282718,uncharacterized LOC107282718,darkorange
107282719,transforming growth factor beta regulator 1-like,turquoise
107282720,bolA-like protein 2,saddlebrown
107282721,coronin-1A-like,white
107282722,glycerophosphodiester phosphodiesterase domain containing 3,magenta
107282723,protein yippee-like 3,darkorange
107282724,crk-like protein,darkorange
107282725,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,lightcyan
107282726,kinesin family member 22,cyan
107282727,cysteine rich secretory protein LCCL domain containing 2,magenta
107282728,PAXIP1-associated glutamate-rich protein 1-like,saddlebrown
107282729,HIRA interacting protein 3,green
107282730,INO80 complex subunit E-like,darkorange
107282731,double C2-like domain-containing protein alpha,black
107282732,serine/threonine-protein kinase NLK2-like,lightcyan
107282733,transmembrane protein C16orf54 homolog,black
107282734,tumor necrosis factor receptor superfamily member 12A-like,darkred
107282735,protein mab-21-like 3,royalblue
107282736,ras-related protein Rab-35-like,turquoise
107282737,zinc finger DHHC-type containing 7,brown
107282738,bicaudal D-related protein 2-like,darkorange
107282739,matrix metalloproteinase-25-like,darkturquoise
107282740,uncharacterized LOC107282740,white
107282741,CD2 antigen cytoplasmic tail-binding protein 2-like,brown
107282742,TBC1 domain family member 10B-like,turquoise
107282743,nicotinate-nucleotide pyrophosphorylase [carboxylating]-like,black
107282744,myosin regulatory light chain 2 skeletal muscle isoform,green
107282745,dCTP pyrophosphatase 1-like,lightcyan
107282747,serine/threonine kinase 31,darkorange
107282748,WAP four-disulfide core domain 1,black
107282749,neuropeptide VF precursor,greenyellow
107282751,cyclic AMP-responsive element-binding protein 5-like,darkorange
107282753,WAS/WASL interacting protein family member 3,red
107282754,family with sequence similarity 126 member A,lightcyan
107282755,uncharacterized LOC107282755,darkorange
107282756,glycoprotein nmb,black
107282757,transformer 2 alpha homolog (Drosophila),lightcyan
107282758,Fanconi anemia complementation group F,lightcyan
107282759,TBC/LysM-associated domain containing 1,darkgrey
107282760,coiled-coil domain containing 126,lightcyan
107282761,family with sequence similarity 221 member A,saddlebrown
107282762,membrane protein palmitoylated 6,darkorange
107282763,deafness autosomal dominant 5,purple
107282764,oxysterol binding protein like 3,darkorange
107282765,cytochrome c,orange
107282766,heterogeneous nuclear ribonucleoprotein A2/B1,lightcyan
107282767,kelch like family member 36,yellow
107282768,chromobox 3,lightcyan
107282769,sorting nexin 10,darkorange
107282770,src kinase associated phosphoprotein 2,lightcyan
107282771,3-hydroxyisobutyrate dehydrogenase,saddlebrown
107282772,Tax1 (human T-cell leukemia virus type I) binding protein 1,red
107282773,JAZF zinc finger 1,black
107282774,cyclic AMP-responsive element-binding protein 5,darkorange
107282775,carboxypeptidase vitellogenic like,turquoise
107282777,chimerin 2,black
107282778,secernin 1,turquoise
107282779,FK506 binding protein 14,turquoise
107282780,pleckstrin homology domain containing A8,saddlebrown
107282781,interleukin 6,saddlebrown
107282782,translocase of outer mitochondrial membrane 7,saddlebrown
107282783,kelch like family member 7,lightcyan
107282784,nucleoporin like 2,darkorange
107282785,mitochondrial assembly of ribosomal large subunit 1,lightcyan
107282786,DEAH-box helicase 37,salmon
107282787,insulin like growth factor 2 mRNA binding protein 3,blue
107282788,neuropeptide Y,darkorange
107282791,homeobox A3,red
107282797,BRI3 binding protein,brown
107282800,TLR4 interactor with leucine-rich repeats,darkred
107282801,leucine-rich repeats and death domain containing 1,greenyellow
107282802,myosin IIIA,red
107282805,KRIT1 ankyrin repeat containing,darkorange
107282806,ankyrin repeat and IBR domain containing 1,turquoise
107282807,proteasome 26S subunit ATPase 2,brown
107282808,GATA zinc finger domain containing 1,saddlebrown
107282809,peroxisomal biogenesis factor 1,lightcyan
107282810,RNA binding motif protein 48,green
107282811,EF-hand calcium binding domain 1,green
107282812,Rho GTPase activating protein 21,lightcyan
107282813,phosphoribosyl transferase domain containing 1,saddlebrown
107282814,enkurin TRPC channel interacting protein,green
107282815,UPF0061 protein PFLU_0444,turquoise
107282816,abl interactor 1,darkorange
107282817,reelin,pink
107282818,prenyl (decaprenyl) diphosphate synthase subunit 1,lightcyan
107282819,acyl-CoA binding domain containing 5,turquoise
107282820,microtubule associated serine/threonine kinase like,cyan
107282821,YME1 like 1 ATPase,lightcyan
107282822,RAB18 member RAS oncogene family,saddlebrown
107282823,armadillo repeat containing 4,green
107282824,membrane protein palmitoylated 7,lightcyan
107282825,WW domain containing adaptor with coiled-coil,lightcyan
107282826,hydroxyacyl-CoA dehydrogenase,brown
107282827,ubiquitin C,yellow
107282828,mitogen-activated protein kinase kinase kinase 8,saddlebrown
107282829,mitochondrial poly(A) polymerase,purple
107282830,KIAA1462 ortholog,turquoise
107282831,supervillin,red
107282832,Rho GTPase activating protein 12,turquoise
107282833,zinc finger E-box binding homeobox 1,red
107282835,threonine synthase like 1,darkorange
107282838,amyloid beta precursor protein binding family B member 1 interacting protein,white
107282839,mohawk homeobox,turquoise
107282840,BMP and activin membrane-bound inhibitor,midnightblue
107282841,uncharacterized LOC107282841,saddlebrown
107282842,DnaJ heat shock protein family (Hsp40) member C2,grey60
107282844,ephrin-A2,black
107282847,PWWP domain-containing protein MUM1,turquoise
107282848,DAZ associated protein 1,turquoise
107282850,phosphatidylinositol-4-phosphate 5-kinase type I gamma,brown
107282851,cytokine receptor-like factor 1,blue
107282852,transmembrane protein 59 like,turquoise
107282853,solute carrier family 26 (anion exchanger) member 5,yellow
107282854,kelch like family member 26,turquoise
107282855,cartilage oligomeric matrix protein,greenyellow
107282856,UPF1 regulator of nonsense transcripts homolog (yeast),brown
107282858,homer scaffolding protein 3,red
107282859,semaphorin-4D-like,pink
107282860,myocyte-specific enhancer factor 2B-like,turquoise
