Table 1
ID,Toxin Class,FPKM,% FPKM,peptides,Transcript Length,Peptide Coverage,Peptide Coverage %,NCBI Link,BLAST hit
comp1534_c0_seq2,,6.5,,33,468,,,,gi|327265815|ref|XP_003217703.1| PREDICTED: protein kinase C delta type-like [Anolis carolinensis]
comp15592_c0_seq1,,1.8,,14,37,,,,NA
comp1612_c0_seq1,,3.5,,7,68,,,,NA
comp1619_c0_seq1,,4.8,,16,515,,,,gi|327262006|ref|XP_003215817.1| PREDICTED: transmembrane protein 181-like [Anolis carolinensis]
comp17027_c0_seq1,,1.9,,8,31,,,,NA
comp1743_c0_seq1,,6.1,,39,12,,,,NA
comp1756_c0_seq1,,8.3,,8,27,,,,NA
comp17684_c0_seq1,,1.8,,30,27,,,,NA
comp17696_c0_seq1,,1.7,,5,18,,,,NA
comp17829_c0_seq1,,2.2,,4,65,,,,NA
comp18355_c0_seq1,,2.2,,6,92,,,,NA
comp18379_c0_seq1,,1.9,,5,53,,,,NA
comp1927_c0_seq5,,2,,23,328,,,,gi|327276553|ref|XP_003223034.1| PREDICTED: peroxisomal NADH pyrophosphatase NUDT12-like [Anolis carolinensis]
comp1995_c0_seq2,,4.8,,12,800,,,,PREDICTED: general vesicular transport factor p115-like [Anolis carolinensis]
comp20384_c0_seq1,,1.6,,6,18,,,,NA
comp20903_c0_seq1,,1.8,,5,21,,,,NA
comp2116_c0_seq1,,7.8,,25,502,,,,gi|327264943|ref|XP_003217268.1| PREDICTED: transmembrane protein 104-like [Anolis carolinensis]
comp2174_c0_seq1,,8.7,,9,500,,,,gi|119331076|ref|NP_001073185.1| xaa-Pro dipeptidase [Gallus gallus] >gi|53130802|emb|CAG31730.1| hypothetical protein RCJMB04_10d1 [Gallus gallus]
comp2247_c0_seq1,,1.1,,13,57,,,,gi|327261903|ref|XP_003215766.1| PREDICTED: e3 ubiquitin-protein ligase HUWE1-like [Anolis carolinensis]
comp23058_c0_seq1,,1.5,,9,31,,,,NA
comp23870_c0_seq1,,1.7,,4,46,,,,NA
comp2402_c0_seq1,,3.6,,54,1460,,,,gi|327260765|ref|XP_003215204.1| PREDICTED: ATP-binding cassette sub-family A member 12-like [Anolis carolinensis]
comp2402_c0_seq2,,1.3,,26,723,,,,gi|327260765|ref|XP_003215204.1| PREDICTED: ATP-binding cassette sub-family A member 12-like [Anolis carolinensis]
comp2405_c0_seq1,,7.4,,4,62,,,,NA
comp24603_c0_seq1,,1.8,,4,48,,,,NA
comp24811_c0_seq1,,1.6,,6,76,,,,gi|327260558|ref|XP_003215101.1| PREDICTED: pleckstrin homology domain-containing family G member 3-like [Anolis carolinensis]
comp24937_c0_seq1,,1.6,,7,63,,,,NA
comp2569_c0_seq1,,4.2,,16,1129,,,,gi|327267544|ref|XP_003218560.1| PREDICTED: STE20-like serine/threonine-protein kinase-like [Anolis carolinensis]
comp25781_c0_seq1,,1.5,,5,39,,,,NA
comp26139_c0_seq1,,1.4,,4,24,,,,NA
comp26572_c0_seq1,,1.8,,8,98,,,,gi|350587510|ref|XP_003482430.1| PREDICTED: pre-mRNA 3'-end-processing factor FIP1-like [Sus scrofa]
comp2668_c0_seq1,,7.3,,5,32,,,,NA
comp26681_c0_seq1,,1.8,,6,43,,,,NA
comp2715_c0_seq1,,6.8,,14,96,,,,NA
comp2775_c0_seq1,,4.8,,5,17,,,,NA
comp28557_c0_seq1,,1.5,,7,59,,,,NA
comp2865_c0_seq2,,3.2,,4,58,,,,NA
comp29253_c0_seq1,,1.5,,9,64,,,,NA
comp2950_c0_seq1,,4.1,,25,469,,,,gi|326916618|ref|XP_003204603.1| PREDICTED: LOW QUALITY PROTEIN: nuclear receptor-binding protein-like [Meleagris gallopavo]
comp30099_c0_seq1,,1.2,,15,20,,,,NA
comp3045_c0_seq2,,3.2,,11,629,,,,gi|327278112|ref|XP_003223806.1| PREDICTED: peroxisomal targeting signal 1 receptor-like [Anolis carolinensis]
comp3066_c0_seq1,,2.7,,14,67,,,,NA
comp3075_c0_seq1,,2.2,,5,20,,,,NA
comp3087_c0_seq1,,2.6,,45,14,,,,NA
comp3204_c0_seq1,,2.4,,31,665,,,,"gi|326921064|ref|XP_003206784.1| PREDICTED: tectonin beta-propeller repeat-containing protein 2-like, partial [Meleagris gallopavo]"
comp32511_c0_seq1,,1.6,,4,107,,,,gi|348504260|ref|XP_003439680.1| PREDICTED: probable ATP-dependent RNA helicase DDX56-like [Oreochromis niloticus]
comp33456_c0_seq1,,1.7,,5,33,,,,NA
comp33878_c0_seq1,,1.4,,4,104,,,,NA
comp3503_c0_seq1,,4,,41,923,,,,gi|350578776|ref|XP_003480448.1| PREDICTED: MAX gene-associated protein-like [Sus scrofa]
comp3580_c0_seq3,,3.6,,18,49,,,,NA
comp35828_c0_seq1,,1.5,,4,45,,,,NA
comp37234_c0_seq1,,1.4,,6,127,,,,gi|327279799|ref|XP_003224643.1| PREDICTED: serine protease 27-like [Anolis carolinensis]
comp3790_c0_seq2,,1.6,,23,1246,,,,gi|224047860|ref|XP_002192274.1| PREDICTED: lysosomal trafficking regulator [Taeniopygia guttata]
comp37979_c0_seq1,,1.3,,7,46,,,,NA
comp3967_c0_seq1,,4.3,,5,25,,,,NA
comp3982_c0_seq1,,4.7,,8,29,,,,NA
comp39882_c0_seq1,,1.6,,11,30,,,,NA
comp4175_c0_seq1,,1.9,,17,583,,,,gi|327272740|ref|XP_003221142.1| PREDICTED: small subunit processome component 20 homolog [Anolis carolinensis]
comp4419_c0_seq1,,4.9,,55,95,,,,NA
comp4577_c0_seq1,,3.1,,15,26,,,,NA
comp4677_c0_seq1,,4.2,,7,649,,,,gi|348540682|ref|XP_003457816.1| PREDICTED: breast cancer anti-estrogen resistance protein 3-like [Oreochromis niloticus]
comp5047_c0_seq1,,3.1,,24,103,,,,NA
comp5255_c0_seq1,,3.7,,6,57,,,,NA
comp5294_c0_seq1,,2.8,,42,23,,,,NA
comp5614_c0_seq1,,3.8,,14,153,,,,NA
comp5796_c0_seq1,,3.8,,53,837,,,,gi|327267720|ref|XP_003218647.1| PREDICTED: disintegrin and metalloproteinase domain-containing protein 9-like [Anolis carolinensis]
comp6077_c0_seq1,,2.8,,4,14,,,,NA
comp6326_c0_seq1,,1.8,,5,22,,,,NA
comp6652_c0_seq1,,2.5,,4,70,,,,NA
comp704_c0_seq5,,4.6,,10,325,,,,gi|327266398|ref|XP_003217993.1| PREDICTED: serine/threonine-protein phosphatase 1 regulatory subunit 10-like [Anolis carolinensis]
comp729_c0_seq1,,9,,40,120,,,,NA
comp751_c0_seq1,,7.8,,10,306,,,,gi|327262169|ref|XP_003215898.1| PREDICTED: LOW QUALITY PROTEIN: ERO1-like protein beta-like [Anolis carolinensis]
comp7619_c0_seq1,,2.6,,5,13,,,,NA
comp7641_c0_seq1,,3.4,,4,61,,,,NA
comp780_c0_seq1,,11.8,,5,67,,,,NA
comp7823_c0_seq1,,2.1,,6,67,,,,NA
comp8080_c0_seq1,,2,,54,160,,,,NA
comp858_c0_seq1,,18.2,,8,26,,,,NA
